,CPU Name,CPU Mark (higher is better),Rank (lower is better),CPU Value (higher is better),Price (USD)
1137,AMD Ryzen 7 5800,25822,527,,
1138,AMD Ryzen 7 5800H,20856,733,,
1139,AMD Ryzen 7 5800HS,19737,791,,
1140,AMD Ryzen 7 5800HS Creator Edition,21166,716,,
1141,AMD Ryzen 7 5800U,18249,873,,
1142,AMD Ryzen 7 5800X,27760,477,172.92,$160.54
1143,AMD Ryzen 7 5800X3D,28304,451,37.45,$755.80
1144,AMD Ryzen 7 5800XT,28051,464,182.15,$154.00
1145,AMD Ryzen 7 5825C,14561,1056,,
1146,AMD Ryzen 7 5825U,18215,878,,
1147,AMD Ryzen 7 6800H,23136,626,,
1148,AMD Ryzen 7 6800HS,22773,642,,
1149,AMD Ryzen 7 6800HS Creator Edition,21562,699,,
1150,AMD Ryzen 7 6800U,20290,769,,
1151,AMD Ryzen 7 6810U,22741,644,,
1152,AMD Ryzen 7 7435H,24482,572,,
1153,AMD Ryzen 7 7435HS,23450,613,,
1154,AMD Ryzen 7 7700,34463,324,132.55,$260.00
1155,AMD Ryzen 7 7700X,35823,311,129.38,$276.89
1156,AMD Ryzen 7 7730U,18160,881,,
1157,AMD Ryzen 7 7735H,23807,598,,
1158,AMD Ryzen 7 7735HS,23293,619,,
1159,AMD Ryzen 7 7735U,20892,730,,
1160,AMD Ryzen 7 7736U,21725,689,,
1161,AMD Ryzen 7 7745HX,32624,356,,
1162,AMD Ryzen 7 7800X3D,34238,330,114.51,$299.00
1163,AMD Ryzen 7 7840H,27951,469,,
1164,AMD Ryzen 7 7840HS,28752,442,,
1165,AMD Ryzen 7 7840HX,42491,248,,
1166,AMD Ryzen 7 7840S,23637,603,,
1167,AMD Ryzen 7 7840U,24903,558,,
1168,AMD Ryzen 7 8700F,31347,382,110.92,$282.61
1169,AMD Ryzen 7 8700G,31701,373,101.02,$313.81
1170,AMD Ryzen 7 8745H,30008,409,,
1171,AMD Ryzen 7 8745HS,29199,430,,
1172,AMD Ryzen 7 8840HS,24822,560,,
1173,AMD Ryzen 7 8840U,23420,616,,
1174,AMD Ryzen 7 8845H,27009,494,,
1175,AMD Ryzen 7 8845HS,28533,447,,
1176,AMD Ryzen 7 9700X,37199,298,120.39,$308.99
1177,AMD Ryzen 7 9800X3D,40010,272,100.28,$399.00
1178,AMD Ryzen 7 Extreme Edition,16224,977,,
1179,AMD Ryzen 7 PRO 1700,14696,1046,,
1180,AMD Ryzen 7 PRO 1700X,15625,1003,,
1181,AMD Ryzen 7 PRO 250,22971,633,,
1182,AMD Ryzen 7 PRO 2700,15360,1018,,
1183,AMD Ryzen 7 PRO 2700U,6994,1698,,
1184,AMD Ryzen 7 PRO 2700X,16949,943,,
1185,AMD Ryzen 7 PRO 3700,22830,637,69.18,$329.99*
1186,AMD Ryzen 7 PRO 3700U,7340,1632,,
1187,AMD Ryzen 7 PRO 4700G,19439,807,,
1188,AMD Ryzen 7 PRO 4750G,20322,763,68.54,$296.52
1189,AMD Ryzen 7 PRO 4750GE,18472,856,,
1190,AMD Ryzen 7 PRO 4750U,14975,1030,,
1191,AMD Ryzen 7 PRO 5750G,24186,585,,
1192,AMD Ryzen 7 PRO 5750GE,21554,701,,
1193,AMD Ryzen 7 PRO 5755GE,20894,729,,
1194,AMD Ryzen 7 PRO 5800H,19313,816,,
1195,AMD Ryzen 7 PRO 5845,26043,521,,
1196,AMD Ryzen 7 PRO 5850U,17198,931,,
1197,AMD Ryzen 7 PRO 5875U,16501,958,,
1198,AMD Ryzen 7 PRO 6850H,23395,617,,
1199,AMD Ryzen 7 PRO 6850HS,22330,661,,
1200,AMD Ryzen 7 PRO 6850U,20778,738,,
1201,AMD Ryzen 7 PRO 6860Z,20509,753,,
1202,AMD Ryzen 7 PRO 7730U,18367,864,,
1203,AMD Ryzen 7 Pro 7735U,19108,822,,
1204,AMD Ryzen 7 PRO 7745,33639,340,,
1205,AMD Ryzen 7 PRO 7840HS,26824,499,,
1206,AMD Ryzen 7 PRO 7840U,24613,568,,
1207,AMD Ryzen 7 PRO 8700G,31046,387,,
1208,AMD Ryzen 7 PRO 8700GE,28192,454,,
1209,AMD Ryzen 7 PRO 8840HS,27059,492,,
1210,AMD Ryzen 7 PRO 8840U,23824,597,,
1211,AMD Ryzen 7 PRO 8845HS,29208,429,,
1212,AMD Ryzen 9 3900,30654,395,60.81,$504.05*
1213,AMD Ryzen 9 3900X,32561,358,93.03,$350.00
1214,AMD Ryzen 9 3900XT,32591,357,86.91,$375.00
1215,AMD Ryzen 9 3950X,38617,280,84.7,$455.95
1216,AMD Ryzen 9 4900H,19034,830,,
1217,AMD Ryzen 9 4900HS,18880,837,,
1218,AMD Ryzen 9 5900,33992,334,,
1219,AMD Ryzen 9 5900H,20557,747,,
1220,AMD Ryzen 9 5900HS,21395,707,,
1221,AMD Ryzen 9 5900HS Creator Edition,20691,741,,
1222,AMD Ryzen 9 5900HX,22372,658,,
1223,AMD Ryzen 9 5900X,39029,276,162.63,$239.99
1224,AMD Ryzen 9 5900XT,44032,234,155.47,$283.21
1225,AMD Ryzen 9 5950X,45457,226,147.59,$307.99
1226,AMD Ryzen 9 5980HS,20443,755,,
1227,AMD Ryzen 9 5980HX,23456,612,,
1228,AMD Ryzen 9 6900HS,23237,621,,
1229,AMD Ryzen 9 6900HS Creator Edition,21489,703,,
1230,AMD Ryzen 9 6900HX,24406,576,,
1231,AMD Ryzen 9 7845HX,45231,228,,
1232,AMD Ryzen 9 7900,48459,198,146.84,$330.02
1233,AMD Ryzen 9 7900X,51448,175,153.13,$335.97
1234,AMD Ryzen 9 7900X3D,50338,182,64.62,$779.00*
1235,AMD Ryzen 9 7940H,28600,444,,
1236,AMD Ryzen 9 7940HS,30124,407,,
1237,AMD Ryzen 9 7940HX,54369,160,,
1238,AMD Ryzen 9 7945HX,54688,157,,
1239,AMD Ryzen 9 7945HX3D,57777,136,,
1240,AMD Ryzen 9 7950X,62524,98,137.12,$455.99
1241,AMD Ryzen 9 7950X3D,62433,99,125.12,$499.00
1242,AMD Ryzen 9 8940HX,55027,153,,
1243,AMD Ryzen 9 8945H,30181,404,,
1244,AMD Ryzen 9 8945HS,29830,416,,
1245,AMD Ryzen 9 8945HX,54737,155,,
1246,AMD Ryzen 9 9900X,54721,156,145.76,$375.42
1247,AMD Ryzen 9 9900X3D,56521,149,94.36,$599.00
1248,AMD Ryzen 9 9950X,66114,86,127.88,$517.00
1249,AMD Ryzen 9 9950X3D,70401,73,97.92,$719.00
1250,AMD Ryzen 9 9955HX,59470,117,,
1251,AMD Ryzen 9 9955HX3D,60253,113,,
1252,AMD Ryzen 9 PRO 3900,31346,383,,
1253,AMD Ryzen 9 PRO 5945,34549,323,,
1254,AMD Ryzen 9 PRO 6950H,23730,600,,
1255,AMD Ryzen 9 PRO 6950HS,22778,641,,
1256,AMD Ryzen 9 PRO 7940HS,28059,463,,
1257,AMD Ryzen 9 PRO 7945,46256,212,,
1258,AMD Ryzen 9 PRO 8945HS,29255,428,,
1259,AMD Ryzen AI 5 340,20377,760,,
1260,AMD Ryzen AI 5 PRO 340,19105,823,,
1261,AMD Ryzen AI 7 350,24515,570,,
1262,AMD Ryzen AI 7 H 350,28847,438,,
1263,AMD Ryzen AI 7 PRO 350,24301,577,,
1264,AMD Ryzen AI 7 PRO 360,21189,714,,
1265,AMD Ryzen AI 9 365,29263,427,,
1266,AMD Ryzen AI 9 HX 370,35129,315,,
1267,AMD Ryzen AI 9 HX 375,32220,364,,
1268,AMD Ryzen AI 9 HX PRO 370,30832,390,,
1269,AMD Ryzen AI 9 HX PRO 375,33238,346,,
1270,AMD Ryzen AI Max 385,18441,858,,
1271,AMD Ryzen AI Max 390,45950,218,,
1272,AMD Ryzen AI Max Pro 385,32050,366,,
1273,AMD Ryzen AI Max Pro 390,43847,236,,
1274,AMD Ryzen AI Max+ 395,51903,172,,
1275,AMD Ryzen AI Max+ Pro 395,50928,178,,
1276,AMD Ryzen Embedded R1305G,3073,2652,,
1277,AMD Ryzen Embedded R1505G,3791,2371,,
1278,AMD Ryzen Embedded R1600,3276,2565,,
1279,AMD Ryzen Embedded R1606G,4153,2271,,
1280,AMD Ryzen Embedded R2312,3919,2332,,
1281,AMD Ryzen Embedded R2314,5757,1925,,
1282,AMD Ryzen Embedded R2514,7102,1674,,
1283,AMD Ryzen Embedded R2544,8486,1488,,
1284,AMD Ryzen Embedded V1202B,3512,2464,,
1285,AMD Ryzen Embedded V1404I,6007,1885,,
1286,AMD Ryzen Embedded V1500B,4566,2176,,
1287,AMD Ryzen Embedded V1605B,6715,1743,,
1288,AMD Ryzen Embedded V1756B,8046,1542,,
1289,AMD Ryzen Embedded V1780B,6219,1834,,
1290,AMD Ryzen Embedded V1807B,8182,1521,,
1291,AMD Ryzen Embedded V1807F,7775,1569,,
1292,AMD Ryzen Embedded V2516,13329,1139,,
1293,AMD Ryzen Embedded V2546,9656,1380,,
1294,AMD Ryzen Embedded V2718,15761,995,,
1295,AMD Ryzen Embedded V2748,18434,859,,
1296,AMD Ryzen Embedded V3C14,11882,1227,,
1297,AMD Ryzen Embedded V3C18I,13856,1104,,
1298,AMD Ryzen Embedded V3C48,20203,774,,
1299,AMD Ryzen Threadripper 1900X,16806,950,70.03,$240.00*
1300,AMD Ryzen Threadripper 1920,22066,673,,
1301,AMD Ryzen Threadripper 1920X,23113,627,98.35,$235.00
1302,AMD Ryzen Threadripper 1950X,27618,480,32.69,$844.95
1303,AMD Ryzen Threadripper 2920X,25235,544,112.11,$225.10
1304,AMD Ryzen Threadripper 2950X,29509,421,42.22,$698.88*
1305,AMD Ryzen Threadripper 2970WX,31026,388,34.67,$894.99
1306,AMD Ryzen Threadripper 2990WX,32091,365,11.89,"$2,698.95*"
1307,AMD Ryzen Threadripper 2990X,25874,526,,
1308,AMD Ryzen Threadripper 3960X,54773,154,52.16,"$1,050.00"
1309,AMD Ryzen Threadripper 3970X,63135,96,38.26,"$1,650.00"
1310,AMD Ryzen Threadripper 3990X,80297,55,29.07,"$2,762.00"
1311,AMD Ryzen Threadripper 7960X,83670,43,43.23,"$1,935.54*"
1312,AMD Ryzen Threadripper 7970X,98544,26,41.06,"$2,399.99"
1313,AMD Ryzen Threadripper 7980X,136185,8,30.96,"$4,398.99"
1314,AMD Ryzen Threadripper PRO 3945WX,33501,342,,
1315,AMD Ryzen Threadripper PRO 3955WX,40153,271,45.89,$875.00
1316,AMD Ryzen Threadripper PRO 3975WX,62374,100,54.24,"$1,150.00"
1317,AMD Ryzen Threadripper PRO 3995WX,83563,44,33.43,"$2,500.00"
1318,AMD Ryzen Threadripper PRO 5945WX,40322,269,,
1319,AMD Ryzen Threadripper PRO 5955WX,49215,189,54.68,$899.99
1320,AMD Ryzen Threadripper PRO 5965WX,66521,84,51.21,"$1,299.00"
1321,AMD Ryzen Threadripper PRO 5975WX,75606,61,39.81,"$1,899.00"
1322,AMD Ryzen Threadripper PRO 5995WX,95201,31,29.57,"$3,220.00"
1323,AMD Ryzen Threadripper PRO 7945WX,49532,186,,
1324,AMD Ryzen Threadripper PRO 7955WX,59913,115,,
1325,AMD Ryzen Threadripper PRO 7965WX,81923,52,21.59,"$3,795.00"
1326,AMD Ryzen Threadripper PRO 7975WX,96022,28,22.26,"$4,312.83*"
1327,AMD Ryzen Threadripper PRO 7985WX,134245,10,18.27,"$7,349.00"
1328,AMD Ryzen Threadripper PRO 7995WX,145420,7,14.54,"$9,999.99*"
1329,AMD Ryzen Threadripper PRO 9995WX,70438,72,,
1330,AMD Ryzen Z1,18411,862,,
1331,AMD Ryzen Z1 Extreme,24999,552,,
1332,AMD Ryzen Z2 Go,12253,1213,,
1333,AMD Sempron 130,511,4599,17.03,$30.00*
1334,AMD Sempron 140,498,4609,41.67,$11.95*
1335,AMD Sempron 145,532,4576,13.31,$39.99*
1336,AMD Sempron 150,597,4490,39.96,$14.95*
1337,AMD Sempron 200U,125,5102,1.43,$87.00*
1338,AMD Sempron 210U,267,4898,,
1339,AMD Sempron 2200+,184,5024,4.6,$39.95*
1340,AMD Sempron 2300+,207,4985,4.6,$45.00*
1341,AMD Sempron 240,1278,3747,35.39,$36.10*
1342,AMD Sempron 2400+,205,4989,15.74,$12.99*
1343,AMD Sempron 2500+,207,4984,3.45,$59.95*
1344,AMD Sempron 2600+,253,4917,7.23,$34.95*
1345,AMD Sempron 2650 APU,551,4550,5.59,$98.56*
1346,AMD Sempron 2800+,243,4930,8.11,$29.95*
1347,AMD Sempron 3000+,299,4850,8.54,$34.95*
1348,AMD Sempron 3100+,298,4853,4.58,$65.00*
1349,AMD Sempron 3200+,251,4921,2.01,$124.68*
1350,AMD Sempron 3300+,315,4830,15.74,$20.00*
1351,AMD Sempron 3400+,292,4861,3.37,$86.68*
1352,AMD Sempron 3500+,232,4955,9.28,$24.99*
1353,AMD Sempron 3600+,364,4757,24.24,$15.00*
1354,AMD Sempron 3800+,360,4760,24.03,$14.99*
1355,AMD Sempron 3850 APU,1174,3850,24.67,$47.57*
1356,AMD Sempron Dual Core 2100,506,4602,13.31,$37.99*
1357,AMD Sempron Dual Core 2200,563,4534,14.09,$39.95*
1358,AMD Sempron Dual Core 2300,555,4545,13.22,$41.99*
1359,AMD Sempron LE-1100,315,4827,9.02,$34.95*
1360,AMD Sempron LE-1150,251,4919,16.82,$14.94*
1361,AMD Sempron LE-1200,349,4770,23.32,$14.95*
1362,AMD Sempron LE-1250,301,4848,2.73,$109.95
1363,AMD Sempron LE-1300,417,4689,15.44,$27.00*
1364,AMD Sempron M100,332,4805,27.66,$12.00*
1365,AMD Sempron M120,281,4875,,
1366,AMD Sempron SI-40,288,4867,24.02,$12.00*
1367,AMD Sempron SI-42,245,4927,8.15,$29.99*
1368,AMD Sempron X2 180,826,4218,11.9,$69.40*
1369,AMD Sempron X2 190,879,4154,10.53,$83.44*
1370,AMD Sempron X2 198 Dual-Core,930,4100,,
1371,AMD Turion 64 Mobile MK-36,334,4800,,
1372,AMD Turion 64 Mobile MK-38,362,4759,,
1373,AMD Turion 64 Mobile ML-28,254,4914,,
1374,AMD Turion 64 Mobile ML-30,277,4883,,
1375,AMD Turion 64 Mobile ML-32,285,4871,,
1376,AMD Turion 64 Mobile ML-34,319,4818,,
1377,AMD Turion 64 Mobile ML-37,334,4798,12.86,$25.99*
1378,AMD Turion 64 Mobile ML-40,336,4792,,
1379,AMD Turion 64 Mobile ML-42,400,4715,,
1380,AMD Turion 64 Mobile ML-44,384,4739,,
1381,AMD Turion 64 Mobile MT-30,246,4925,,
1382,AMD Turion 64 Mobile MT-32,286,4869,,
1383,AMD Turion 64 Mobile MT-34,279,4878,,
1384,AMD Turion 64 Mobile MT-37,274,4887,,
1385,AMD Turion 64 X2 Mobile TL-50,474,4632,24.97,$18.99*
1386,AMD Turion 64 X2 Mobile TL-52,534,4573,,
1387,AMD Turion 64 X2 Mobile TL-56,514,4597,7.86,$65.40*
1388,AMD Turion 64 X2 Mobile TL-58,483,4626,,
1389,AMD Turion 64 X2 Mobile TL-60,635,4450,39.79,$15.95*
1390,AMD Turion 64 X2 Mobile TL-62,649,4437,22.39,$29.00*
1391,AMD Turion 64 X2 Mobile TL-64,675,4402,17.14,$39.39*
1392,AMD Turion 64 X2 Mobile TL-66,716,4352,8.04,$89.00*
1393,AMD Turion 64 X2 Mobile TL-68,866,4172,9.62,$90.00*
1394,AMD Turion Dual-Core RM-70,561,4537,22.46,$25.00*
1395,AMD Turion Dual-Core RM-72,649,4438,21.69,$29.90*
1396,AMD Turion Dual-Core RM-74,588,4502,,
1397,AMD Turion Dual-Core RM-75,659,4423,30.65,$21.49*
1398,AMD Turion II Dual-Core Mobile M500,756,4297,,
1399,AMD Turion II Dual-Core Mobile M520,855,4183,12.37,$69.10*
1400,AMD Turion II Dual-Core Mobile M540,912,4118,,
1401,AMD Turion II N530 Dual-Core,855,4180,28.51,$30.00*
1402,AMD Turion II N550 Dual-Core,877,4158,,
1403,AMD Turion II Neo K625 Dual-Core,618,4468,,
1404,AMD Turion II Neo K685 Dual-Core,684,4389,,
1405,AMD Turion II Neo N40L Dual-Core,617,4470,,
1406,AMD Turion II Neo N54L Dual-Core,853,4186,,
1407,AMD Turion II P520 Dual-Core,844,4198,,
1408,AMD Turion II P540 Dual-Core,919,4111,18.39,$49.95*
1409,AMD Turion II P560 Dual-Core,913,4115,,
1410,AMD Turion II Ultra Dual-Core Mobile M600,955,4076,56.97,$16.76*
1411,AMD Turion II Ultra Dual-Core Mobile M620,814,4227,,
1412,AMD Turion II Ultra Dual-Core Mobile M640,1034,3996,,
1413,AMD Turion II Ultra Dual-Core Mobile M660,1011,4020,,
1414,AMD Turion Neo X2 Dual Core L625,432,4669,,
1415,AMD Turion X2 Dual Core L510,603,4482,,
1416,AMD Turion X2 Dual Core Mobile RM-70,497,4612,3.75,$132.56*
1417,AMD Turion X2 Dual Core Mobile RM-76,691,4382,,
1418,AMD Turion X2 Dual-Core Mobile RM-70,612,4473,,
1419,AMD Turion X2 Dual-Core Mobile RM-72,653,4430,2.91,$224.26*
1420,AMD Turion X2 Dual-Core Mobile RM-74,655,4427,43.83,$14.95*
1421,AMD Turion X2 Dual-Core Mobile RM-75,727,4337,,
1422,AMD Turion X2 Dual-Core Mobile RM-76,799,4244,,
1423,AMD Turion X2 Dual-Core Mobile RM-77,562,4535,,
1424,AMD Turion X2 Ultra Dual-Core Mobile ZM-80,506,4600,10.14,$49.95*
1425,AMD Turion X2 Ultra Dual-Core Mobile ZM-82,645,4442,,
1426,AMD Turion X2 Ultra Dual-Core Mobile ZM-84,802,4241,53.48,$14.99*
1427,AMD Turion X2 Ultra Dual-Core Mobile ZM-85,828,4216,18.39,$45.00*
1428,AMD Turion X2 Ultra Dual-Core Mobile ZM-86,695,4377,11.39,$61.00*
1429,AMD Turion X2 Ultra Dual-Core Mobile ZM-87,741,4321,18.56,$39.95*
1430,AMD TurionX2 Dual Core Mobile RM-70,536,4570,,
1431,AMD TurionX2 Dual Core Mobile RM-72,471,4635,,
1432,AMD TurionX2 Ultra DualCore Mobile ZM-85,841,4201,,
1433,AMD TurionX2 Ultra DualCore Mobile ZM-87,599,4485,,
1434,AMD V105,184,5023,,
1435,AMD V120,385,4737,,
1436,AMD V140,422,4681,10.57,$39.95*
1437,AMD V160,337,4789,,
1438,AMD Z-01,305,4845,,
1439,AMD Z-60 APU,262,4905,,
1440,Amlogic,650,4436,,
1441,Amlogic AMLA311D2,3522,2460,,
1442,Amlogic AMLS905D3,815,4226,,
1443,Amlogic AMLS905X2,754,4302,,
1444,Amlogic AMLS905X4,500,4606,,
1445,Amlogic AMLS905X5,1793,3379,,
1446,Amlogic AMLT982,972,4057,,
1447,Ampere ARM - 192 Core 3200 MHz,57444,138,,
1448,ap201,565,4530,,
1449,Apple A11 Bionic,4430,2203,,
1450,Apple A12 Bionic,5021,2098,,
1451,Apple A12X Bionic,11080,1281,,
1452,Apple A12Z Bionic,9365,1408,,
1453,Apple A13 Bionic,5744,1928,,
1454,Apple A14 Bionic,8557,1481,,
1455,Apple A15 Bionic,9897,1362,,
1456,Apple A16,9929,1359,,
1457,Apple A16 Bionic,10994,1287,,
1458,Apple A17 Pro,12235,1215,,
1459,Apple A18,12433,1201,,
1460,Apple A18 Pro,12925,1171,,
1461,Apple A8,1525,3569,,
1462,Apple A8X,2380,3005,,
1463,Apple A9,2069,3194,,
1464,Apple A9X,2518,2923,,
1465,Apple M1 8 Core 3200 MHz,14144,1093,,
1466,Apple M1 Max 10 Core 3200 MHz,22141,669,,
1467,Apple M1 Pro 10 Core 3200 MHz,21900,680,,
1468,Apple M1 Pro 8 Core 3200 MHz,17201,930,,
1469,Apple M1 Ultra 20 Core,41368,257,,
1470,Apple M2 8 Core 3500 MHz,15649,1002,,
1471,Apple M2 Max 12 Core 3680 MHz,26767,501,,
1472,Apple M2 Pro 10 Core 3480 MHz,21852,684,,
1473,Apple M2 Pro 12 Core 3480 MHz,26649,506,,
1474,Apple M2 Ultra 24 Core,50685,180,,
1475,Apple M3 8 Core,19190,819,,
1476,Apple M3 Max 14 Core,36630,302,,
1477,Apple M3 Max 16 Core,41228,260,,
1478,Apple M3 Pro 11 Core,24869,559,,
1479,Apple M3 Pro 12 Core,24254,582,,
1480,Apple M3 Ultra 28 Core,68717,79,,
1481,Apple M3 Ultra 32 Core,74063,64,,
1482,Apple M4 10 Core,24029,590,,
1483,Apple M4 8 Core,20795,736,,
1484,Apple M4 9 Core,22262,663,,
1485,Apple M4 Max 14 Core,38529,283,,
1486,Apple M4 Max 16 Core,43759,237,,
1487,Apple M4 Pro 12 Core,33050,351,,
1488,Apple M4 Pro 14 Core,38241,287,,
1489,ARM - 32 Core 2911 MHz,8132,1529,,
1490,ARM - 32 Core 3300 MHz,8684,1464,,
1491,ARM - 4 Core 2016 MHz,3653,2419,,
1492,ARM - 8 Core 1766 MHz,4080,2296,,
1493,ARM - 8 Core 1800 MHz,3206,2599,,
1494,ARM - 8 Core 2208 MHz,2270,3069,,
1495,ARM - 8 Core 2424 MHz,8610,1474,,
1496,ARM Ampere-1a 192 Core 2600 MHz,47202,202,,
1497,ARM ARMv7 rev 1 (v7l) 4 Core 1608 MHz,776,4274,,
1498,ARM ARMv7 rev 1 (v7l) 4 Core 1800 MHz,843,4199,,
1499,ARM ARMv7 rev 3 (v7l) 4 Core 2065 MHz,984,4046,,
1500,ARM ARMv7 rev 4 (v7l) 4 Core 1200 MHz,403,4710,,
1501,ARM ARMv7 rev 4 (v7l) 4 Core 1400 MHz,399,4719,,
1502,ARM ARMv7 rev 5 (v7l) 4 Core 1200 MHz,325,4814,,
1503,ARM ARMv8 rev 1 (v8l) 4 Core 1510 MHz,1042,3986,,
1504,ARM ARMv8 rev 1 (v8l) 4 Core 1984 MHz,1473,3598,,
1505,ARM ARMv8 rev 1 (v8l) 6 Core 1510 MHz,2553,2903,,
1506,ARM ARMv8 rev 1 (v8l) 6 Core 1984 MHz,2776,2778,,
1507,ARM Avalanche-M2 4 Core 2424 MHz,8233,1516,,
1508,ARM CIX P1 CD8180 7 Core 2500 MHz,5505,1996,,
1509,ARM Cortex-A15 4 Core 1400 MHz,1141,3884,,
1510,ARM Cortex-A15 4 Core 1500 MHz,1304,3723,,
1511,ARM Cortex-A15 4 Core 2000 MHz,923,4108,,
1512,ARM Cortex-A15 8 Core 1400 MHz,1160,3862,,
1513,ARM Cortex-A17 4 Core 1800 MHz,781,4271,,
1514,ARM Cortex-A35 4 Core 1200 MHz,329,4810,,
1515,ARM Cortex-A35 4 Core 1296 MHz,334,4799,,
1516,ARM Cortex-A35 4 Core 2004 MHz,546,4556,,
1517,ARM Cortex-A53 4 Core 1000 MHz,215,4974,,
1518,ARM Cortex-A53 4 Core 1008 MHz,313,4834,,
1519,ARM Cortex-A53 4 Core 1152 MHz,339,4784,,
1520,ARM Cortex-A53 4 Core 1199 MHz,408,4703,,
1521,ARM Cortex-A53 4 Core 1200 MHz,274,4886,,
1522,ARM Cortex-A53 4 Core 1296 MHz,418,4687,,
1523,ARM Cortex-A53 4 Core 1300 MHz,438,4663,,
1524,ARM Cortex-A53 4 Core 1333 MHz,207,4983,,
1525,ARM Cortex-A53 4 Core 1368 MHz,385,4736,,
1526,ARM Cortex-A53 4 Core 1392 MHz,417,4688,,
1527,ARM Cortex-A53 4 Core 1400 MHz,271,4891,,
1528,ARM Cortex-A53 4 Core 1416 MHz,468,4639,,
1529,ARM Cortex-A53 4 Core 1500 MHz,340,4782,,
1530,ARM Cortex-A53 4 Core 1512 MHz,467,4640,,
1531,ARM Cortex-A53 4 Core 1536 MHz,222,4968,,
1532,ARM Cortex-A53 4 Core 1600 MHz,458,4649,,
1533,ARM Cortex-A53 4 Core 1608 MHz,462,4644,,
1534,ARM Cortex-A53 4 Core 1704 MHz,556,4542,,
1535,ARM Cortex-A53 4 Core 1800 MHz,515,4596,,
1536,ARM Cortex-A53 4 Core 1908 MHz,638,4445,,
1537,ARM Cortex-A53 4 Core 2016 MHz,417,4691,,
1538,ARM Cortex-A53 4 Core 2040 MHz,593,4493,,
1539,ARM Cortex-A53 4 Core 600 MHz,220,4970,,
1540,ARM Cortex-A53 6 Core 1896 MHz,1851,3331,,
1541,ARM Cortex-A53 8 Core 1512 MHz,739,4323,,
1542,ARM Cortex-A55 4 Core 1416 MHz,506,4601,,
1543,ARM Cortex-A55 4 Core 1800 MHz,632,4454,,
1544,ARM Cortex-A55 4 Core 1908 MHz,707,4361,,
1545,ARM Cortex-A55 4 Core 1992 MHz,681,4393,,
1546,ARM Cortex-A55 4 Core 2000 MHz,711,4356,,
1547,ARM Cortex-A55 4 Core 2016 MHz,755,4300,,
1548,ARM Cortex-A55 4 Core 2100 MHz,688,4386,,
1549,ARM Cortex-A55 4 Core 2124 MHz,742,4318,,
1550,ARM Cortex-A55 4 Core 2208 MHz,798,4247,,
1551,ARM Cortex-A55 8 Core 1416 MHz,1113,3903,,
1552,ARM Cortex-A55 8 Core 1800 MHz,3013,2678,,
1553,ARM Cortex-A57 2 Core 1479 MHz,318,4821,,
1554,ARM Cortex-A57 4 Core 1479 MHz,956,4073,,
1555,ARM Cortex-A57 4 Core 1734 MHz,1170,3852,,
1556,ARM Cortex-A57 4 Core 1912 MHz,990,4042,,
1557,ARM Cortex-A57 4 Core 2014 MHz,1229,3790,,
1558,ARM Cortex-A57 4 Core 2091 MHz,1192,3831,,
1559,ARM Cortex-A57 8 Core 1500 MHz,1022,4010,,
1560,ARM Cortex-A57 8 Core 1766 MHz,3766,2384,,
1561,ARM Cortex-A7 2 Core 1080 MHz,142,5081,,
1562,ARM Cortex-A7 2 Core 960 MHz,111,5120,,
1563,ARM Cortex-A7 2 Core 996 MHz,138,5087,,
1564,ARM Cortex-A7 4 Core 1000 MHz,278,4881,,
1565,ARM Cortex-A7 4 Core 1008 MHz,269,4894,,
1566,ARM Cortex-A7 4 Core 1200 MHz,219,4972,,
1567,ARM Cortex-A7 4 Core 1296 MHz,253,4915,,
1568,ARM Cortex-A7 4 Core 1300 MHz,343,4779,,
1569,ARM Cortex-A7 4 Core 1368 MHz,354,4767,,
1570,ARM Cortex-A7 4 Core 1392 MHz,318,4820,,
1571,ARM Cortex-A7 4 Core 900 MHz,230,4957,,
1572,ARM Cortex-A715 4 Core 2200 MHz,3432,2490,,
1573,ARM Cortex-A72 16 Core 2000 MHz,5110,2079,,
1574,ARM Cortex-A72 16 Core 2200 MHz,5470,2005,,
1575,ARM Cortex-A72 2 Core 1703 MHz,1005,4028,,
1576,ARM Cortex-A72 4 Core 1000 MHz,608,4478,,
1577,ARM Cortex-A72 4 Core 1200 MHz,174,5038,,
1578,ARM Cortex-A72 4 Core 1416 MHz,927,4104,,
1579,ARM Cortex-A72 4 Core 1500 MHz,617,4471,,
1580,ARM Cortex-A72 4 Core 1600 MHz,667,4413,,
1581,ARM Cortex-A72 4 Core 1700 MHz,541,4561,,
1582,ARM Cortex-A72 4 Core 1750 MHz,335,4795,,
1583,ARM Cortex-A72 4 Core 1800 MHz,680,4396,,
1584,ARM Cortex-A72 4 Core 1850 MHz,199,4994,,
1585,ARM Cortex-A72 4 Core 1900 MHz,742,4320,,
1586,ARM Cortex-A72 4 Core 2000 MHz,766,4284,,
1587,ARM Cortex-A72 4 Core 2016 MHz,2201,3114,,
1588,ARM Cortex-A72 4 Core 2100 MHz,674,4403,,
1589,ARM Cortex-A72 4 Core 2200 MHz,799,4243,,
1590,ARM Cortex-A72 4 Core 2208 MHz,2290,3054,,
1591,ARM Cortex-A72 4 Core 2300 MHz,915,4112,,
1592,ARM Cortex-A72 4 Core 2394 MHz,1254,3768,,
1593,ARM Cortex-A72 4 Core 2400 MHz,1295,3728,,
